movieID,actorID
tt0848557,nm1208725
tt0398808,nm1455681
tt1666801,nm0926165
tt0120177,nm0000491
tt0116743,nm0863130
tt6574146,nm2573928
tt0484111,nm0000569
tt0398375,nm0000098
tt5104604,nm0186505
tt0281820,nm0474333
tt0338094,nm0000552
tt0305669,nm0000188
tt11242162,nm3912883
tt0116322,nm0212588
tt0104437,nm0833519
tt0443559,nm0000620
tt1085779,nm2247245
tt0468492,nm0814280
tt0454792,nm2004529
tt0857191,nm1896736
tt0101748,nm0000666
tt0114234,nm0006763
tt0105128,nm0750758
tt3721954,nm0000160
tt10733228,nm0787462
tt0301978,nm1178113
tt11497716,nm0621937
tt0790623,nm0503567
tt0119488,nm0000107
tt2265534,nm0367176
tt0100142,nm0629737
tt7158430,nm0001100
tt1220214,nm2008435
tt0102388,nm0001832
tt1877832,nm0413168
tt9376612,nm4855517
tt0108442,nm0000678
tt0104412,nm0000349
tt4685762,nm8314228
tt2713180,nm0000093
tt9592496,nm6492899
tt0493949,nm1411125
tt5843876,nm3641002
tt0421715,nm0842770
tt7144666,nm0000160
tt1148204,nm0267812
tt4640206,nm7802961
tt0108539,nm0001738
tt0110950,nm0001872
tt13634480,nm13153558
tt1606180,nm0736263
tt8912936,nm0571952
tt0887261,nm6481846
tt1602620,nm0728938
tt0286306,nm0175860
tt0460810,nm0000518
tt1921149,nm5787342
tt11213372,nm1727210
tt0112641,nm0000582
tt1164999,nm3904817
tt0119848,nm0000493
tt0119008,nm0456124
tt8850222,nm0497630
tt3864024,nm4776767
tt10023286,nm2154960
tt0485323,nm0509523
tt0462590,nm2026113
tt1465487,nm0660854
tt10228134,nm0134072
tt0211915,nm0749363
tt6113488,nm0001159
tt0389722,nm0001326
tt0215750,nm0000179
tt1753887,nm4304388
tt4382872,nm0000246
tt1111422,nm0000237
tt0448134,nm0614165
tt4332232,nm0027957
tt6320628,nm0000168
tt2468774,nm7890339
tt3661210,nm1659547
tt0479952,nm0000586
tt5668770,nm0611552
tt0337573,nm0005342
tt0411267,nm0000293
tt7589524,nm0553785
tt0237993,nm0897518
tt2832470,nm2505635
tt0120265,nm0259831
tt0236027,nm0586568
tt0116583,nm0074834
tt15096128,nm7635388
tt5181830,nm1443502
tt9701942,nm2854112
tt1242447,nm0421332
tt0195778,nm0005447
tt1327773,nm0000404
tt0310357,nm0123201
tt0305669,nm0001451
tt2674358,nm0941777
tt0362590,nm0070541
tt6410564,nm0945131
tt5456546,nm3315894
tt11322920,nm0579756
tt0421238,nm0934019
tt0102250,nm0005481
tt8745676,nm1846124
tt0194218,nm0000513
tt0252444,nm1082270
tt0435679,nm0363699
tt2283748,nm0542498
tt0110631,nm0091035
tt3289956,nm0004051
tt0120772,nm0733812
tt0338512,nm0383603
tt7653254,nm3485845
tt1966359,nm1159180
tt4104054,nm0849214
tt0242519,nm0712546
tt2377322,nm1183149
tt3395184,nm0138700
tt0099674,nm0001735
tt0101669,nm0000110
tt0437954,nm0159789
tt0104291,nm0000130
tt1277953,nm0001710
tt7605074,nm0628806
tt8110232,nm0005273
tt0246989,nm0764445
tt0821642,nm0000375
tt2032557,nm0000662
tt3824458,nm4924757
tt10451914,nm1107001
tt0765476,nm0005517
tt2382009,nm0000353
tt7399470,nm2527173
tt3495030,nm0592799
tt2869728,nm0000973
tt2115295,nm0001624
tt1173687,nm0015196
tt1575694,nm0000421
tt0275719,nm0000494
tt10307440,nm5119563
tt0907676,nm0006669
tt1255919,nm0000146
tt0102789,nm0000243
tt12422308,nm2284321
tt0765443,nm0000090
tt0099726,nm0000335
tt1278379,nm0678061
tt1268809,nm0001643
tt0341495,nm1340101
tt0216651,nm0781899
tt0108174,nm0001625
tt3181822,nm4554428
tt0117786,nm0636280
tt2263944,nm0875442
tt12412888,nm2355635
tt0465494,nm0460694
tt1392190,nm2368789
tt1847731,nm0968797
tt0961722,nm0835045
tt0427323,nm0786919
tt0492619,nm1828224
tt5814060,nm0007491
tt0124819,nm0005295
